№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Серия;Номер;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания;Тех. секретарь;Unnamed: 27
28863;825ПВ;Иннокентиевская Виктория Дмитриeвна;В приказ;Первый;84,54;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1601235;95,08;без отличия;нет;;нет;да;нет;09.01.2019 9:33;Петренко Лина Владимировна;
28864;826ПВ;Серафимова Ирина Ивановна;В приказ;Первый;73;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;984;72;без отличия;да;;нет;да;нет;09.01.2019 15:15;Петренко Лина Владимировна;
28865;827ПВ;Кондратенко Зинаида Трофимовна;В приказ;Первый;75;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;АР;47969532;4;без отличия;нет;;нет;да;нет;10.01.2019 14:41;Петренко Лина Владимировна;
28866;828ПВ;Андреевский Андрей Игнатович;В приказ;Первый;72,3;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;47335747;71,6;без отличия;да;;нет;да;нет;10.01.2019 15:08;Петренко Лина Владимировна;
28867;829ПВ;Кондратовский Петр Тимофеeвич;В приказ;Первый;85;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;6728;5;без отличия;да;;нет;да;нет;10.01.2019 15:37;Петренко Лина Владимировна;
28868;830ПВ;Владимирович Виктория Андреeвна;В приказ;Первый;60,1;Юрфак;заочная;Нормативный;5 лет 00 мес.;3 (третий) курс;40.03.01;Юриспруденция;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;37163937;55,2;без отличия;нет;;нет;да;нет;11.01.2019 11:44;Петренко Лина Владимировна;
28869;831ПВ;Степанович Трофим Кириллович;В приказ;Первый;66,19;Юрфак;заочная;Нормативный;2 года 6 мес.;2 (второй) курс;40.04.01;Юриспруденция;Магистратура;Переводы, восстановления;Диплом бакалавра;НК;47206986;157,38;без отличия;да;;нет;да;нет;11.01.2019 13:41;Петренко Лина Владимировна;
28870;832ПВ;Трофимовский Тимофей Терентиeвич;В приказ;Первый;71,04;Физтех;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;09.03.01;Информатика и вычислительная техника;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;1607051;4,38;без отличия;да;;нет;да;нет;14.01.2019 10:51;Петренко Лина Владимировна;
28872;834ПВ;Кириллова Дарья Терентиeвна;В приказ;Первый;94,6;Истфак;заочная;Нормативный;4 года 00 мес.;3 (третий) курс;41.03.05;Международные отношения;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;ДА;673;5;без отличия;да;;нет;да;нет;15.01.2019 11:40;Петренко Лина Владимировна;
28873;835ПВ;Андреенко Надежда Тимофеeвна;В приказ;Первый;73,24;Истфак;заочная;Нормативный;4 года 00 мес.;2 (второй) курс;46.03.01;История;Бакалавриат;Переводы, восстановления;Аттестат о среднем общем образовании;НК;37180967;70,6;без отличия;да;;нет;да;нет;15.01.2019 13:28;Петренко Лина Владимировна;
